lat;lng;stateName;country
45.65532;-78.93061;Ontario;Canada
45.61785;-78.92731;Ontario;Canada
45.50396;-78.90285;Ontario;Canada
44.1664;-78.4529;Ontario;Canada
45.534;-77.85804;Ontario;Canada
44.1028;-77.52356;Ontario;Canada
44.70596;-76.91354;Ontario;Canada
44.81678;-76.43772;Ontario;Canada
44.61615;-76.4198;Ontario;Canada
44.6925;-76.3948;Ontario;Canada
44.77658;-76.06987;Ontario;Canada
45.33788;-75.98326;Ontario;Canada
47.38115;-78.64526;Quebec;Canada
45.95625;-76.85125;Quebec;Canada
45.737;-76.601;Quebec;Canada
57.81;-69.55;Quebec;Canada
54.31648;-107.7171;Saskatchewan;Canada
52.94971;-106.0525;Saskatchewan;Canada
53.7312;-105.8799;Saskatchewan;Canada
52.60837;-103.9236;Saskatchewan;Canada
62.0875;-136.2924;Yukon;Canada
60.69976;-135.1155;Yukon;Canada
60.36933;-134.4837;Yukon;Canada
30.47612;-88.34223;Alabama;USA
31.24305;-88.31126;Alabama;USA
31.25385;-88.26291;Alabama;USA
33.13195;-88.17885;Alabama;USA
33.13;-88.14999;Alabama;USA
33.41574;-88.12475;Alabama;USA
31.4515;-88.08305;Alabama;USA
31.58255;-87.96095;Alabama;USA
34.8986;-87.95277;Alabama;USA
30.7113;-87.91833;Alabama;USA
34.70112;-87.77686;Alabama;USA
33.37095;-87.6942;Alabama;USA
30.31786;-87.64934;Alabama;USA
31.809;-87.56807;Alabama;USA
33.8957;-87.53395;Alabama;USA
34.80405;-87.50905;Alabama;USA
31.20325;-87.5047;Alabama;USA
33.97575;-87.45876;Alabama;USA
33.89236;-87.3775;Alabama;USA
33.21145;-87.35664;Alabama;USA
33.28375;-87.32655;Alabama;USA
33.26035;-87.31821;Alabama;USA
31.99;-87.29;Alabama;USA
33.20837;-87.28992;Alabama;USA
32.30673;-87.24547;Alabama;USA
34.92855;-87.1105;Alabama;USA
31.16;-87.09069;Alabama;USA
31.13586;-87.06486;Alabama;USA
34.9263;-87.02025;Alabama;USA
34.6802;-87.00665;Alabama;USA
31.00009;-87.00008;Alabama;USA
31.00002;-86.99782;Alabama;USA
33.55153;-86.98473;Alabama;USA
34.73139;-86.97057;Alabama;USA
34.00806;-86.96416;Alabama;USA
34.29511;-86.88621;Alabama;USA
33.1;-86.86;Alabama;USA
33.89833;-86.84557;Alabama;USA
33.8132;-86.7891;Alabama;USA
34.1288;-86.68;Alabama;USA
